TransactionID,Date,Department,Category,Supplier,Budget,ActualCost,CostType,Status
TXN-1001,2026-01-05,Operations,Software,CloudCore,12000,13850,Recurring,Over Budget
TXN-1002,2026-01-12,Finance,Professional Services,Advisory Group,8000,7600,Project,Within Budget
TXN-1003,2026-01-18,Sales,Travel,TravelWorks,6500,7200,Variable,Over Budget
TXN-1004,2026-01-25,IT,Cloud Services,CloudCore,15000,18200,Recurring,Over Budget
TXN-1005,2026-02-03,Operations,Maintenance,FixPro,9000,8400,Recurring,Within Budget
TXN-1006,2026-02-10,Finance,Software,DataSuite,5000,6100,Recurring,Over Budget
TXN-1007,2026-02-17,Sales,Marketing,MarketLab,11000,9800,Project,Within Budget
TXN-1008,2026-02-26,IT,Hardware,TechSource,14000,15100,Project,Over Budget
TXN-1009,2026-03-04,Operations,Consulting,Advisory Group,7000,9300,Project,Over Budget
TXN-1010,2026-03-11,Finance,Travel,TravelWorks,4000,3250,Variable,Within Budget
TXN-1011,2026-03-19,Sales,Software,DataSuite,6000,6400,Recurring,Over Budget
TXN-1012,2026-03-27,IT,Cloud Services,CloudCore,16000,15500,Recurring,Within Budget
TXN-1013,2026-04-02,Operations,Software,CloudCore,12500,11900,Recurring,Within Budget
TXN-1014,2026-04-09,Finance,Professional Services,Advisory Group,8500,10100,Project,Over Budget
TXN-1015,2026-04-16,Sales,Travel,TravelWorks,7000,6850,Variable,Within Budget
TXN-1016,2026-04-24,IT,Hardware,TechSource,13000,11800,Project,Within Budget
TXN-1017,2026-05-03,Operations,Maintenance,FixPro,9500,11200,Recurring,Over Budget
TXN-1018,2026-05-10,Finance,Software,DataSuite,5500,5200,Recurring,Within Budget
TXN-1019,2026-05-18,Sales,Marketing,MarketLab,12000,13750,Project,Over Budget
TXN-1020,2026-05-26,IT,Cloud Services,CloudCore,17000,19400,Recurring,Over Budget
TXN-1021,2026-06-05,Operations,Consulting,Advisory Group,7500,6900,Project,Within Budget
TXN-1022,2026-06-13,Finance,Travel,TravelWorks,4500,5100,Variable,Over Budget
TXN-1023,2026-06-21,Sales,Software,DataSuite,6500,5900,Recurring,Within Budget
TXN-1024,2026-06-29,IT,Hardware,TechSource,14500,15800,Project,Over Budget
